"IL_1FJG_005","1"
"IL_1FJG_007","1"
"IL_1FJG_016","1"
"IL_1S72_010","1"
"IL_1S72_064","1"
"IL_1U9S_003","1"
"IL_2IPY_001","1"
"IL_2IPY_004","1"
"IL_3DIR_005","1"
"IL_3F1H_032","1"
"IL_1KXK_003","1"
"IL_1S72_022","1"
"IL_2OZB_001","1"
"IL_2NZ4_007","1"
"IL_2NZ4_004","1"
"IL_1MJI_003","1"
"IL_3MUR_003","1"
"IL_1U9S_006","1"
"IL_3F1H_059","1"
"IL_2QUX_002","1"
"IL_1FUF_002","1"
"IL_3F1H_087","1"
"IL_1FUF_003","1"
"IL_1S72_067","1"
"IL_3D0U_005","1"
"IL_1S72_042","1"
"IL_1MJI_001","1"
"IL_1S72_096","1"
"IL_3MUR_004","1"
"IL_3B31_001","1"
"IL_2QUX_003","1"
"IL_2QUX_005","1"
"IL_2QUX_001","1"
"IL_2QUX_006","1"
"IL_2QUX_004","1"
"IL_3G78_004","1"
"IL_157D_001","2"
"IL_157D_002","2"
"IL_1FJG_006","2"
"IL_1FJG_010","2"
"IL_1FJG_044","2"
"IL_1FJG_056","2"
"IL_1FJG_058","2"
"IL_1FJG_062","2"
"IL_1KFO_002","2"
"IL_1KFO_003","2"
"IL_1L9A_007","2"
"IL_1MWL_001","2"
"IL_1MWL_004","2"
"IL_1MZP_001","2"
"IL_1NLC_001","2"
"IL_1NLC_002","2"
"IL_1O9M_003","2"
"IL_1O9M_004","2"
"IL_1RPU_001","2"
"IL_1S72_024","2"
"IL_1S72_047","2"
"IL_1S72_085","2"
"IL_1S72_095","2"
"IL_1T0D_002","2"
"IL_1T0D_004","2"
"IL_1T0E_002","2"
"IL_1U9S_007","2"
"IL_1XJR_003","2"
"IL_1YZ9_001","2"
"IL_1YZ9_002","2"
"IL_1Z7F_001","2"
"IL_1Z7F_002","2"
"IL_1ZEV_001","2"
"IL_1ZEV_002","2"
"IL_1ZEV_003","2"
"IL_1ZEV_004","2"
"IL_1ZEV_005","2"
